UID          PID    PPID  C STIME TTY          TIME CMD
vboxuser    1503    1381  0 03:05 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
vboxuser    1516    1381  0 03:05 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
vboxuser    1526    1381  0 03:05 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
vboxuser    1542    1381  0 03:05 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
vboxuser    1550    1381 22 03:05 ?        00:08:18 /usr/bin/gnome-shell
vboxuser    1552    1516  0 03:05 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
vboxuser    1554    1381  0 03:05 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
vboxuser    1562    1381  0 03:05 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
vboxuser    1566    1552  0 03:05 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
vboxuser    1571    1381  0 03:05 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
vboxuser    1577    1381  0 03:05 ?        00:00:00 /usr/libexec/goa-daemon
vboxuser    1586    1381  0 03:05 ?        00:00:00 /usr/libexec/goa-identity-service
vboxuser    1658    1381  0 03:05 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
vboxuser    1664    1381  0 03:05 ?        00:00:00 /usr/libexec/evolution-source-registry
vboxuser    1671    1381  0 03:05 ?        00:00:00 /usr/libexec/evolution-calendar-factory
vboxuser    1678    1401  0 03:05 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
vboxuser    1686    1381  0 03:05 ?        00:00:00 /usr/libexec/dconf-service
vboxuser    1692    1381  0 03:05 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
vboxuser    1694    1381  0 03:05 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
vboxuser    1696    1381  0 03:05 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
vboxuser    1703    1381  0 03:05 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
vboxuser    1706    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-a11y-settings
vboxuser    1710    1391  0 03:05 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
vboxuser    1711    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-color
vboxuser    1712    1703  0 03:05 ?        00:00:02 /usr/bin/ibus-daemon --panel disable
vboxuser    1716    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-datetime
vboxuser    1718    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-housekeeping
vboxuser    1721    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-keyboard
vboxuser    1722    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-media-keys
vboxuser    1723    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-power
vboxuser    1727    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-print-notifications
vboxuser    1728    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-rfkill
vboxuser    1730    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
vboxuser    1731    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-sharing
vboxuser    1733    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-smartcard
vboxuser    1734    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-sound
vboxuser    1746    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-wacom
vboxuser    1785    1712  0 03:05 ?        00:00:00 /usr/libexec/ibus-memconf
vboxuser    1787    1712  0 03:05 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
vboxuser    1788    1516  0 03:05 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
vboxuser    1789    1516  0 03:05 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
vboxuser    1791    1381  0 03:05 ?        00:00:00 /usr/libexec/ibus-portal
vboxuser    1818    1381  0 03:05 ?        00:00:00 /usr/libexec/xdg-desktop-portal
vboxuser    1845    1381  0 03:05 ?        00:00:00 /usr/libexec/gsd-printer
vboxuser    1869    1381  0 03:05 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
vboxuser    1906    1712  0 03:05 ?        00:00:00 /usr/libexec/ibus-engine-simple
vboxuser    1928    1381  0 03:05 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
vboxuser    1946    1381  0 03:05 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
vboxuser    1976    1550  0 03:05 ?        00:00:03 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:720:1.5:27:0:74:0:0
vboxuser    2012    1381  0 03:05 ?        00:00:00 /usr/libexec/gvfsd-metadata
root        2038       2  0 03:05 ?        00:00:00 [kworker/1:3-events]
vboxuser    2204    1381  0 03:06 ?        00:00:07 /usr/libexec/gnome-terminal-server
vboxuser    2222    2204  0 03:06 pts/0    00:00:00 bash
vboxuser    2236    1516  0 03:06 ?        00:00:00 update-notifier
vboxuser    2506    1550  1 03:07 ?        00:00:36 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.44S941 -listen 4 -listen 5 -displayfd 6 -initfd 7
vboxuser    2510    1381  0 03:07 ?        00:00:00 /usr/libexec/gsd-xsettings
vboxuser    2537    1381  0 03:07 ?        00:00:00 /usr/libexec/ibus-x11
vboxuser    3591    1381  0 03:13 ?        00:00:00 /usr/bin/snap userd
vboxuser    4380    1381  0 03:14 ?        00:00:00 /usr/bin/seahorse --gapplication-service
vboxuser    4381    1381  0 03:14 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
vboxuser    4663    1550  0 03:16 ?        00:00:06 /snap/snap-store/638/usr/bin/snap-store
root        4883       1  0 03:16 ?        00:00:00 /usr/libexec/fwupd/fwupd
root        4915       2  0 03:16 ?        00:00:00 [kworker/0:1-inet_frag_wq]
root        5258       2  0 03:16 ?        00:00:00 [kworker/5:0-mm_percpu_wq]
vboxuser    6115    1401  0 03:19 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.2 /org/gtk/gvfs/exec_spaw/1
vboxuser    6130    1401  0 03:19 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.2 /org/gtk/gvfs/exec_spaw/2
vboxuser    6142    1401  0 03:19 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.2 /org/gtk/gvfs/exec_spaw/4
root        6248       2  0 03:26 ?        00:00:01 [kworker/0:2-events]
root        6321       2  0 03:26 ?        00:00:07 [kworker/u12:0-events_power_efficient]
root        6433       2  0 03:33 ?        00:00:00 [kworker/4:0-inet_frag_wq]
root        6439       2  0 03:33 ?        00:00:01 [kworker/4:3-events]
root        6452       2  0 03:33 ?        00:00:00 [kworker/2:2-events]
root        6596       2  0 03:33 ?        00:00:00 [kworker/5:1-events]
root        6609       2  0 03:34 ?        00:00:03 [kworker/u12:3-writeback]
root        6612       2  0 03:34 ?        00:00:00 [kworker/1:1-events]
vboxuser    6615    1414  0 03:34 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
root        6618       2  0 03:34 ?        00:00:00 [kworker/2:3-mm_percpu_wq]
root        6619       2  0 03:34 ?        00:00:00 [kworker/3:0-mm_percpu_wq]
root        6927       2  0 03:40 ?        00:00:00 [kworker/1:0-events]
root        6929       2  0 03:40 ?        00:00:00 [kworker/4:1-mm_percpu_wq]
root        6933       2  2 03:40 ?        00:00:02 [kworker/u12:4-events_power_efficient]
vboxuser    6970    1550 54 03:40 ?        00:00:50 /snap/firefox/2356/usr/lib/firefox/firefox
vboxuser    7123    6970  0 03:40 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -parentBuildID 20230214170610 -prefsLen 25427 -prefMapSize 228198 -appDir /snap/firefox/2356/usr/lib/firefox/browser {ca3b56cd-1084-460d-bab5-9412200dd291} 6970 true socket
vboxuser    7153    6970  8 03:40 ?        00:00:07 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 25568 -prefMapSize 228198 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {19804593-c323-41fe-9886-15357f751658} 6970 true tab
vboxuser    7319    6970  1 03:40 ?        00:00:01 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 31023 -prefMapSize 228198 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {3fd708c3-da1f-4e46-8003-848c9dd24c5a} 6970 true tab
vboxuser    7608    6970  6 03:40 ?        00:00:05 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 31023 -prefMapSize 228198 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {89771bac-8222-4601-8f06-291f93674ecb} 6970 true tab
vboxuser    7616    6970  0 03:40 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 31023 -prefMapSize 228198 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {66fccbd6-cc88-45e0-bb00-7df9bd226c1c} 6970 true tab
vboxuser    7651    6970  0 03:40 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 31023 -prefMapSize 228198 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {9406a0e6-a679-44cf-8cc6-ec7258ec0533} 6970 true tab
root        7675       2  0 03:40 ?        00:00:00 [kworker/0:0-cgroup_destroy]
vboxuser    7696    6970  0 03:41 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 31023 -prefMapSize 228198 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {467f6ca0-7c0d-460f-bc8d-9c66d052be7b} 6970 true tab
vboxuser    7730    2222  0 03:42 pts/0    00:00:00 ps -ef
